,Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
0,1,44.0,20.0,14.0,,29808
1,2,34.0,-54.0,46.0,,7064
2,3,32.0,2.0,54.0,3.7190164854556804,312
3,4,14.0,8.0,4.0,,800
4,5,-2.0,16.0,46.0,,18728
5,6,-10.0,-16.0,6.0,,1280
6,7,-16.0,4.0,4.0,,1304
7,8,-34.0,-54.0,44.0,,16920
8,9,-22.0,-8.0,-16.0,3.7190164854556804,440
9,10,-42.0,16.0,20.0,,55632
10,11,-50.0,-50.0,-6.0,3.7190164854556804,16656
11,11a,-48.0,-58.0,22.0,2.0857640650923526,
12,12,44.0,-62.0,-12.0,3.431614403623299,432
13,13,54.0,-36.0,4.0,2.568974373887387,72
