,Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
0,1,40.0,22.0,-4.0,,9136
1,1a,50.0,22.0,24.0,,
2,2,-2.0,20.0,46.0,,9800
3,3,-22.0,-8.0,-16.0,3.7190164854556804,88
4,4,-44.0,20.0,12.0,,30888
5,5,-36.0,-56.0,46.0,,2696
6,6,-44.0,-62.0,-12.0,3.7190164854556804,440
7,7,-56.0,-38.0,0.0,,2824
