"","AAL Label","Cluster Size (mm3)","Max Z Value","X","Y","Z"
"1","Frontal_Inf_Orb_R",4048,3.89059188641309,36,22,-18
"2","Frontal_Sup_Medial_L",1080,3.89059188641309,-6,42,40
"3","Frontal_Inf_Orb_L",17152,NA,-40,34,-10
"4","Angular_L",2720,NA,-48,-62,30
