Term,pForward,zForward,likelihoodForward,pReverse,zReverse,probReverse
neuroquery6308_combined_tfidf__a1,1.0,-0.0,1.012609242941917,1.0,0.0,4.792346733968753e-05
neuroquery6308_combined_tfidf__a10,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__a11,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__a12,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__a15,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__a2,1.0,-0.0,0.6864661170178529,1.0,-0.0,1.809468538317406e-05
neuroquery6308_combined_tfidf__a3,1.0,-0.0,0.8333925323937258,1.0,-0.0,8.65388156895762e-06
neuroquery6308_combined_tfidf__a4,1.0,-0.0,0.30820622218485805,1.0,-0.0,3.5081185172023173e-06
neuroquery6308_combined_tfidf__a5,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__a6,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__a7,1.0,-0.0,11.778614457831324,1.0,0.0,7.05624189468852e-06
neuroquery6308_combined_tfidf__a8,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__a9,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__ab,1.0,-0.0,0.6797533191438405,1.0,-0.0,2.6876612282430145e-05
neuroquery6308_combined_tfidf__abdominal,1.0,-0.0,0.5818195945141709,1.0,-0.0,1.4406816601669208e-05
neuroquery6308_combined_tfidf__abducens,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__aberrant,1.0,0.0,0.9276989817319937,0.698627677663186,-0.38717362087549867,0.00020729802555379575
neuroquery6308_combined_tfidf__abilities,0.9934953875822187,0.008152413004121485,1.1363874512133039,0.12808438977456046,1.5216995127185093,0.0005144414439930672
neuroquery6308_combined_tfidf__abilities social,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__ability,1.0,0.0,1.0591217510752338,0.7989770627856204,0.2546711989954775,0.0012524842964155188
neuroquery6308_combined_tfidf__ability social,1.0,-0.0,6.338267869685018,1.0,0.0,1.265693613397044e-05
neuroquery6308_combined_tfidf__ability spatial,1.0,-0.0,2.066423589093215,1.0,0.0,4.951748698027031e-06
neuroquery6308_combined_tfidf__abnormal,1.0,0.0,0.991014951200107,0.07714984073642964,-1.7674682558673098,0.0008794522332331606
neuroquery6308_combined_tfidf__abscess,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__absence,1.0,0.0,1.032323287661123,1.0,0.0,0.0010245428158792405
neuroquery6308_combined_tfidf__absence epilepsy,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__absence seizure,1.0,-0.0,1.239854153455929,1.0,0.0,6.437273307435142e-06
neuroquery6308_combined_tfidf__absent,1.0,0.0,0.7779949326202331,0.7463344394255704,-0.3234764505484825,0.0002546324337532216
neuroquery6308_combined_tfidf__abstinence,1.0,-0.0,1.2475143291613053,1.0,0.0,7.62298330017542e-05
neuroquery6308_combined_tfidf__abstinence alcohol,1.0,-0.0,2.793347302252488,1.0,0.0,1.0598307984117146e-05
neuroquery6308_combined_tfidf__abstract,0.25998812319818443,1.126419201041117,1.1491933954871099,0.20886187097443665,1.2567011515931674,0.0015889424939608925
neuroquery6308_combined_tfidf__abstract knowledge,1.0,-0.0,0.8343764669065873,1.0,-0.0,3.1657283588921343e-06
neuroquery6308_combined_tfidf__abuse,1.0,0.0,0.8586873556777228,0.02358207445469165,-2.263870603508353,0.0004657177950954781
neuroquery6308_combined_tfidf__abuse alcohol,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__abuse cocaine,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__ac,1.0,0.0,0.9870347311031837,1.0,-0.0,0.00043717163470444523
neuroquery6308_combined_tfidf__ac pc line,1.0,0.0,1.0127032916721552,1.0,0.0,0.00020687873619912073
neuroquery6308_combined_tfidf__academic,1.0,-0.0,1.0704587510903962,1.0,0.0,0.00011543079742901549
neuroquery6308_combined_tfidf__acalculia,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__acc,1.0,0.0,0.8955159530225465,0.9982867261323001,-0.0021472720095791456,0.0006385886220235437
neuroquery6308_combined_tfidf__acceptability,0.09958333713863367,-1.6468769666831236,2.8704990555234744,0.02678860550547509,2.214584374498067,4.35641254261842e-05
neuroquery6308_combined_tfidf__acceptance,0.4546275614162591,-0.7477224922463812,1.606809801483514,0.25659569738042687,1.1344741824509597,9.465520216579994e-05
neuroquery6308_combined_tfidf__acceptor,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__access,0.0483524198462495,1.9742579483832214,1.3650536924447407,1.5830643958083593e-05,4.316801443803001,0.00046803467372810004
neuroquery6308_combined_tfidf__accessory,1.0,-0.0,1.2031271152023826,1.0,0.0,1.4415203053500551e-05
neuroquery6308_combined_tfidf__accessory olfactory bulb,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__accident,0.6001897071956788,-0.5241277234371138,1.682926339426606,0.27376737378222527,1.0944278527321853,5.847528606171468e-05
neuroquery6308_combined_tfidf__accountability,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__accumbens,1.0,0.0,1.011272379668155,1.0,0.0,0.0002144621530399467
neuroquery6308_combined_tfidf__accumulation,1.0,-0.0,0.7161926471085465,0.9540628756436973,-0.05760549113724118,5.363139887216486e-05
neuroquery6308_combined_tfidf__accuracy,1.0,0.0,0.9787547626403048,1.0,-0.0,0.0010886470064652794
neuroquery6308_combined_tfidf__accurate,1.0,0.0,0.9778099847254756,1.0,-0.0,0.0008042744248778617
neuroquery6308_combined_tfidf__acg,1.0,-0.0,1.2701597186733995,1.0,0.0,1.6740185659577368e-05
neuroquery6308_combined_tfidf__ache,1.0,-0.0,1.7174164458563292,1.0,0.0,8.573805461346926e-06
neuroquery6308_combined_tfidf__achievement,1.0,-0.0,1.0064631651063847,1.0,0.0,0.00010511327633977795
neuroquery6308_combined_tfidf__acid,0.8632412945067942,-0.17224961385888743,1.451611107055314,1.0,0.0,0.00010841263093821535
neuroquery6308_combined_tfidf__acidosis,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__acoustic,1.0,0.0,0.8569232759898071,1.0,-0.0,0.00015417882428477568
neuroquery6308_combined_tfidf__acoustic processing,1.0,-0.0,0.9087657961464375,1.0,-0.0,1.0525384394991877e-05
neuroquery6308_combined_tfidf__acoustic startle reflex,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__acoustic trauma,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__acquired,1.0,0.0,1.0004772170599385,1.0,0.0,0.0021359128671007825
neuroquery6308_combined_tfidf__acquired prosopagnosia,1.0,-0.0,0.0,1.0,-0.0,0.0
