Term,pForward,zForward,likelihoodForward,pReverse,zReverse,probReverse
neuroquery6308_combined_tfidf__a1,1.0,-0.0,1.1552792737344206,1.0,0.0,5.472674246030833e-05
neuroquery6308_combined_tfidf__a10,1.0,-0.0,0.8144329896907216,1.0,-0.0,2.116230549292528e-06
neuroquery6308_combined_tfidf__a11,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__a12,1.0,-0.0,3.803248395253841,1.0,0.0,4.561106481421485e-06
neuroquery6308_combined_tfidf__a15,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__a2,0.5719362981401622,-0.565202115205634,1.5663694216489836,0.6064603648200779,0.5151325981207389,4.132685892054358e-05
neuroquery6308_combined_tfidf__a3,1.0,-0.0,1.4262181482201906,1.0,0.0,1.4823596064619827e-05
neuroquery6308_combined_tfidf__a4,1.0,-0.0,1.2307066329168557,0.9650479760960797,0.0438198853433682,1.40214738715831e-05
neuroquery6308_combined_tfidf__a5,1.0,-0.0,1.783824468570386,1.0,0.0,5.704746749624513e-06
neuroquery6308_combined_tfidf__a6,1.0,-0.0,2.249061812535047,1.0,0.0,6.743058396522697e-06
neuroquery6308_combined_tfidf__a7,1.0,-0.0,6.719072164948454,1.0,0.0,4.028977391922311e-06
neuroquery6308_combined_tfidf__a8,1.0,-0.0,1.063705355928515,1.0,0.0,1.0630547208238292e-06
neuroquery6308_combined_tfidf__a9,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__ab,0.02343720264732387,-2.2662316683058403,1.9388153088982392,0.0151662481851119,2.4283846618298197,7.673012410393887e-05
neuroquery6308_combined_tfidf__abdominal,1.0,-0.0,0.44252945103941516,1.0,-0.0,1.0968017488438348e-05
neuroquery6308_combined_tfidf__abducens,1.0,-0.0,4.33488526770868,1.0,0.0,2.599340252853104e-06
neuroquery6308_combined_tfidf__aberrant,0.31467966003093145,1.005451151112303,1.2508431131381708,1.0,0.0,0.00027976745903061007
neuroquery6308_combined_tfidf__abilities,1.0,0.0,1.007860824742268,0.6318919861106953,0.4790655649086349,0.0004566845873743941
neuroquery6308_combined_tfidf__abilities social,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__ability,1.0,0.0,1.0121347141301495,1.0,0.0,0.0011980391040763499
neuroquery6308_combined_tfidf__ability social,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__ability spatial,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__abnormal,1.0,0.0,0.974797171465598,0.0005491213125957112,-3.4555745514547285,0.0008658697765410192
neuroquery6308_combined_tfidf__abscess,1.0,-0.0,6.719072164948454,1.0,0.0,4.028977391922311e-06
neuroquery6308_combined_tfidf__absence,1.0,0.0,0.9593133932450053,0.46629600377769426,-0.7285188993557213,0.0009529742517514605
neuroquery6308_combined_tfidf__absence epilepsy,1.0,-0.0,0.8632640897150048,1.0,-0.0,2.933302597973418e-06
neuroquery6308_combined_tfidf__absence seizure,1.0,-0.0,1.4145415084102007,1.0,0.0,7.351116644910885e-06
neuroquery6308_combined_tfidf__absent,1.0,0.0,1.0768789773836762,0.19739085378542467,1.289020804942653,0.00035278500922276523
neuroquery6308_combined_tfidf__abstinence,1.0,-0.0,0.9340281253127813,0.8385290513125809,-0.20377535664972476,5.71275567530732e-05
neuroquery6308_combined_tfidf__abstinence alcohol,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__abstract,0.5891021102127819,0.5401376461586904,1.0767291997438901,1.0,0.0,0.001490142564613969
neuroquery6308_combined_tfidf__abstract knowledge,1.0,-0.0,1.4279019949123042,1.0,0.0,5.422708650285048e-06
neuroquery6308_combined_tfidf__abuse,1.0,0.0,1.0335526914078323,0.35390442412215367,0.9270425854588491,0.0005610824154584993
neuroquery6308_combined_tfidf__abuse alcohol,1.0,-0.0,1.2559013392427014,1.0,0.0,6.777718977065571e-06
neuroquery6308_combined_tfidf__abuse cocaine,1.0,-0.0,0.9598674521354934,1.0,-0.0,2.1104167291021634e-06
neuroquery6308_combined_tfidf__ac,1.0,0.0,1.0214637320025952,0.864766962290534,0.1703092179494785,0.0004528441514641706
neuroquery6308_combined_tfidf__ac pc line,1.0,0.0,1.0591043588736284,0.7652388035375092,0.2986084680306512,0.00021656020768586989
neuroquery6308_combined_tfidf__academic,0.9202136337916383,-0.1001646200930706,1.1968538118720662,1.0,0.0,0.0001291811472769032
neuroquery6308_combined_tfidf__acalculia,1.0,-0.0,0.9430276722734672,1.0,-0.0,3.958293578028939e-06
neuroquery6308_combined_tfidf__acc,1.0,0.0,1.0437618165282943,0.5309742785214012,0.6265194575703149,0.0007449987181811813
neuroquery6308_combined_tfidf__acceptability,0.03887539953750316,-2.0655033431842047,2.4562002227675093,0.009225010123847981,2.603600929746603,3.731140720382969e-05
neuroquery6308_combined_tfidf__acceptance,1.0,-0.0,0.9963037018013721,1.0,-0.0,5.874596335592537e-05
neuroquery6308_combined_tfidf__acceptor,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__access,0.002617064312719494,3.0094670881720775,1.3279991701452338,4.329798576215497e-09,5.871074413404768,0.00045575597281607944
neuroquery6308_combined_tfidf__accessory,1.0,-0.0,0.8235839221591568,1.0,-0.0,9.876961941382584e-06
neuroquery6308_combined_tfidf__accessory olfactory bulb,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__accident,1.0,-0.0,0.9600198362364832,1.0,-0.0,3.3388255256127114e-05
neuroquery6308_combined_tfidf__accountability,1.0,-0.0,0.6544550810014728,1.0,-0.0,2.485408131380647e-06
neuroquery6308_combined_tfidf__accumbens,1.0,-0.0,0.7416990354561727,0.17267343415260575,-1.3636636986601682,0.00015744051478009335
neuroquery6308_combined_tfidf__accumulation,1.0,-0.0,0.6913918972351075,0.2916279287414702,-1.0545571090548789,5.182267459207838e-05
neuroquery6308_combined_tfidf__accuracy,1.0,0.0,1.024929692777631,0.26161836406165895,1.1225742325979176,0.001141073291936307
neuroquery6308_combined_tfidf__accurate,1.0,0.0,0.997583303211201,0.9007103563681489,-0.12476404056338322,0.0008213064503955908
neuroquery6308_combined_tfidf__acg,1.0,-0.0,0.7245584649477125,1.0,-0.0,9.55832163432324e-06
neuroquery6308_combined_tfidf__ache,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__achievement,1.0,-0.0,0.9432195297928759,1.0,-0.0,9.860041513134328e-05
neuroquery6308_combined_tfidf__acid,1.0,-0.0,0.74526013537479,0.0739748823660076,-1.7867686864884096,5.571136038291262e-05
neuroquery6308_combined_tfidf__acidosis,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__acoustic,0.006192538400989144,2.7374082879758332,1.4315708925838555,1.7003897387635594e-06,4.786116978760488,0.0002578112832755969
neuroquery6308_combined_tfidf__acoustic processing,0.21793203643208695,-1.2320456382453386,2.07360992660218,0.01564665228053582,2.417055009978526,2.4039162149832225e-05
neuroquery6308_combined_tfidf__acoustic startle reflex,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__acoustic trauma,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__acquired,1.0,0.0,1.0085606089660917,1.0,0.0,0.0021551852282528845
neuroquery6308_combined_tfidf__acquired prosopagnosia,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__acquisition,1.0,0.0,0.9796771585710867,0.19409265696549802,-1.2985667442482272,0.0020744702987423335
neuroquery6308_combined_tfidf__act,1.0,0.0,1.0595440435323895,0.5074382124602353,0.6628319127433407,0.0003831085560745619
neuroquery6308_combined_tfidf__acth,1.0,-0.0,1.2034159101400215,1.0,0.0,5.7728631287245066e-06
neuroquery6308_combined_tfidf__acting,1.0,-0.0,0.8844700087653339,0.7238339202939069,-0.35333952112311356,0.00014496435703061002
neuroquery6308_combined_tfidf__action,1.0,0.0,0.948328334672041,1.0,-0.0,0.0008125993684657722
neuroquery6308_combined_tfidf__action execution,1.0,-0.0,0.7829565544705908,1.0,-0.0,3.583747612158514e-05
neuroquery6308_combined_tfidf__action initiation,1.0,-0.0,0.6450309278350516,1.0,-0.0,1.676054595039682e-06
neuroquery6308_combined_tfidf__action observation,1.0,-0.0,0.8216954494714032,1.0,-0.0,5.896164621452676e-05
neuroquery6308_combined_tfidf__action perception,1.0,-0.0,0.920105739808073,0.9442237491738599,-0.06996219590374199,3.439090595866586e-05
neuroquery6308_combined_tfidf__activation,1.0,0.0,1.0346773341818558,2.7484362348012126e-07,5.139928096193201,0.0024182163615390716
neuroquery6308_combined_tfidf__activation level,1.0,-0.0,0.7230789581484263,0.7694034901072773,-0.2931552465064627,5.4342277846899184e-05
neuroquery6308_combined_tfidf__activation patient,1.0,-0.0,0.8141588621277157,1.0,-0.0,1.2204913001447596e-05
neuroquery6308_combined_tfidf__active,1.0,0.0,0.982044071332539,0.025239468970174206,-2.2377177197877764,0.001201875570332457
neuroquery6308_combined_tfidf__active learning,1.0,-0.0,0.3839469808541973,1.0,-0.0,2.992954633999432e-06
neuroquery6308_combined_tfidf__active maintenance,1.0,-0.0,1.0255378588889057,1.0,0.0,3.833165530459224e-05
neuroquery6308_combined_tfidf__active retrieval,1.0,-0.0,0.9917449689960817,0.8549953881229437,-0.18274846290288632,1.6452896606620018e-05
neuroquery6308_combined_tfidf__activities,1.0,0.0,0.9222864960954813,0.06346836504854494,-1.8558961276781494,0.000487222440795652
neuroquery6308_combined_tfidf__activities motor,1.0,-0.0,0.727697346384309,1.0,-0.0,2.181756710427245e-06
neuroquery6308_combined_tfidf__activity,1.0,0.0,0.9957341334860225,0.9944827535711837,-0.0069148980548082205,0.002247589492678234
neuroquery6308_combined_tfidf__activity motor,1.0,-0.0,0.6367351780862703,0.8925630918141807,-0.13506169975805735,3.843528071535996e-05
neuroquery6308_combined_tfidf__acts,1.0,0.0,1.0322036269443726,1.0,0.0,0.00020012501852852997
neuroquery6308_combined_tfidf__acuities,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__acuity,1.0,-0.0,0.807516084241862,0.9526487735368563,-0.05938084006911626,0.00010636551964092636
neuroquery6308_combined_tfidf__acupuncture,1.0,-0.0,0.6009231673514547,0.7789915924293381,-0.28063340408098725,1.6575334602877706e-05
neuroquery6308_combined_tfidf__acute,1.0,0.0,1.0419320011808828,1.0,0.0,0.0003182196554769613
neuroquery6308_combined_tfidf__acute brain injury,1.0,-0.0,1.0444153624272208,1.0,0.0,2.0875530528094883e-06
neuroquery6308_combined_tfidf__acute stroke,1.0,-0.0,0.5353842362508727,1.0,-0.0,4.922522178709862e-06
neuroquery6308_combined_tfidf__ad,1.0,-0.0,0.7541953121609809,0.031156963363394526,-2.1550622488748576,0.00014155124418844316
neuroquery6308_combined_tfidf__adams,1.0,-0.0,0.34574985411398557,1.0,-0.0,2.4187685886326057e-06
neuroquery6308_combined_tfidf__adaptation,1.0,0.0,0.9765079446618743,0.850605659067354,-0.1883457049223188,0.0003435205472056672
neuroquery6308_combined_tfidf__adaptive,1.0,0.0,0.9564662887709707,1.0,-0.0,0.00034373489693549614
neuroquery6308_combined_tfidf__adaptive behavior,1.0,-0.0,0.7997674788127259,1.0,-0.0,2.8614162646126108e-05
neuroquery6308_combined_tfidf__adaptive control,1.0,-0.0,0.9936656018585742,1.0,-0.0,1.549170180274354e-05
neuroquery6308_combined_tfidf__add,1.0,0.0,0.972369343697316,1.0,-0.0,0.00023244847856917922
neuroquery6308_combined_tfidf__addiction,1.0,-0.0,0.913392372846899,0.29368267095186396,-1.0500770900129222,0.00014550568850679906
neuroquery6308_combined_tfidf__addictive,1.0,-0.0,0.841637431935088,0.7997060952918903,-0.253727489517972,4.323370312000143e-05
neuroquery6308_combined_tfidf__addictive behavior,1.0,-0.0,0.4942917237578558,0.3489676491659558,-0.9365935925539554,1.2250936650278732e-05
neuroquery6308_combined_tfidf__addition,1.0,0.0,0.9958077926855178,1.0,-0.0,0.0018536570769847433
neuroquery6308_combined_tfidf__adenoma,1.0,-0.0,1.3349149996586331,1.0,0.0,1.8677378638050453e-06
neuroquery6308_combined_tfidf__adhd,1.0,-0.0,0.9049056302426066,0.5759584450408137,-0.5592978754849555,0.00012914148386907183
neuroquery6308_combined_tfidf__adherence,1.0,-0.0,0.9910677326064368,1.0,-0.0,3.526043038437336e-05
neuroquery6308_combined_tfidf__adherence medication,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__adherence treatment,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__adhesion,1.0,-0.0,1.9258487096986012,1.0,0.0,9.238419497401479e-06
neuroquery6308_combined_tfidf__adjustment,1.0,0.0,1.0748590343259032,1.0,0.0,0.00031688946517576753
neuroquery6308_combined_tfidf__adjustment disorder,1.0,-0.0,0.9267685744756488,1.0,-0.0,2.9638454377359533e-06
neuroquery6308_combined_tfidf__adolescent,1.0,-0.0,1.0887503774317389,1.0,0.0,0.00018628005323048346
