Term,pForward,zForward,likelihoodForward,pReverse,zReverse,probReverse
neuroquery6308_combined_tfidf__ache,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__achievement,1.0,-0.0,0.8600920741707071,1.0,-0.0,8.979554166141601e-05
neuroquery6308_combined_tfidf__acid,1.0,-0.0,0.7236259572708172,0.022922674175504,-2.2747209622912057,5.4024888513270875e-05
neuroquery6308_combined_tfidf__acidosis,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__acoustic,0.09294699327347258,1.6800530565029774,1.2713540666944445,0.0004810206289662808,3.4911086316212123,0.00022866486943404806
neuroquery6308_combined_tfidf__acoustic processing,1.0,-0.0,1.2080490263087778,0.8346313690672671,0.20876541779250313,1.3986874987480565e-05
neuroquery6308_combined_tfidf__acoustic startle reflex,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__acoustic trauma,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__acquired,1.0,0.0,0.9936656329536919,0.8302113280358905,-0.21443053997099878,0.002120638975526199
neuroquery6308_combined_tfidf__acquired prosopagnosia,1.0,-0.0,0.623535039464243,1.0,-0.0,2.24048225596681e-06
neuroquery6308_combined_tfidf__acquisition,1.0,0.0,1.0076474653318386,1.0,0.0,0.0021309670054984564
neuroquery6308_combined_tfidf__act,1.0,0.0,1.0536192865322085,0.3931504406493496,0.8539179724663679,0.00038047876100729864
neuroquery6308_combined_tfidf__acth,1.0,-0.0,0.5258168616377572,1.0,-0.0,2.5191492032263632e-06
neuroquery6308_combined_tfidf__acting,1.0,-0.0,0.8996226481120743,0.64731974426907,-0.4574888089193403,0.00014725917828060117
neuroquery6308_combined_tfidf__action,1.0,0.0,0.9592083148194657,1.0,-0.0,0.0008208703295123645
neuroquery6308_combined_tfidf__action execution,1.0,-0.0,1.0605181798617418,0.26626794321568875,1.1116981785926332,4.8479902771499525e-05
neuroquery6308_combined_tfidf__action initiation,1.0,-0.0,0.5636756756756758,1.0,-0.0,1.462785970673442e-06
neuroquery6308_combined_tfidf__action observation,0.8188383248506289,-0.22903935925693672,1.1892838698571182,0.015224396194222396,2.4269966556847185,8.522914216071647e-05
neuroquery6308_combined_tfidf__action perception,1.0,-0.0,1.0452732773855677,0.27088888527157584,1.1010178573459712,3.9019310811927086e-05
neuroquery6308_combined_tfidf__activation,0.9481323163051819,0.06505235365445013,1.0335857927361702,1.7250198904635422e-08,5.637534563994477,0.0024125738755604166
neuroquery6308_combined_tfidf__activation level,0.5129243869820392,-0.6542909319207405,1.2637596205477002,0.0641764909787124,1.8509517766831205,9.485505052656149e-05
neuroquery6308_combined_tfidf__activation patient,0.5589424290216702,-0.584413079563027,1.5415230107252997,0.15495166546740338,1.422256970642602,2.3079129039150984e-05
neuroquery6308_combined_tfidf__active,1.0,0.0,1.0298191883162842,4.138745387663477e-06,4.604290435651681,0.001258732307155545
neuroquery6308_combined_tfidf__active learning,1.0,-0.0,1.0065637065637065,0.7106092676500884,0.37103794773925425,7.836353414322009e-06
neuroquery6308_combined_tfidf__active maintenance,0.5067031695881783,-0.6639799096837732,1.3678700792102854,0.06447363792722911,1.8488904156333452,5.106162084669245e-05
neuroquery6308_combined_tfidf__active retrieval,0.7418491513128869,-0.3294055791932559,1.3866560287224494,0.03157860751930068,2.149704358039297,2.297497124910505e-05
neuroquery6308_combined_tfidf__activities,1.0,0.0,1.0064085991328977,0.4631971898057763,0.7335924073208576,0.0005309818081466557
neuroquery6308_combined_tfidf__activities motor,1.0,-0.0,1.271831398185189,1.0,0.0,3.8082806095705405e-06
neuroquery6308_combined_tfidf__activity,1.0,0.0,0.9899232329003361,1.0,-0.0,0.0022316135267310853
neuroquery6308_combined_tfidf__activity motor,1.0,-0.0,0.794894623865743,1.0,-0.0,4.7920864337095964e-05
neuroquery6308_combined_tfidf__acts,1.0,0.0,0.93208297484136,1.0,-0.0,0.00018048223052858104
neuroquery6308_combined_tfidf__acuities,1.0,-0.0,4.003378378378379,1.0,0.0,1.5983238315924843e-06
neuroquery6308_combined_tfidf__acuity,1.0,-0.0,0.8185739621522011,0.8606917178535005,-0.17549370354232707,0.0001076840747379869
neuroquery6308_combined_tfidf__acupuncture,1.0,-0.0,0.525131056153974,0.38406169569184545,-0.8704368870223942,1.4466215472971219e-05
neuroquery6308_combined_tfidf__acute,1.0,0.0,0.8595281935507306,0.020850903621603908,-2.3106733629533185,0.0002621752078111001
neuroquery6308_combined_tfidf__acute brain injury,1.0,-0.0,0.9126872986976615,1.0,-0.0,1.821923538602832e-06
neuroquery6308_combined_tfidf__acute stroke,1.0,-0.0,0.7017874448153333,1.0,-0.0,6.4442379186119285e-06
neuroquery6308_combined_tfidf__ad,1.0,-0.0,0.8120703385285467,0.04781017069254903,-1.9790518334328535,0.00015221847973539057
neuroquery6308_combined_tfidf__adams,1.0,-0.0,0.9064252932177461,1.0,-0.0,6.3329812195173905e-06
neuroquery6308_combined_tfidf__adaptation,1.0,0.0,1.017918416703842,1.0,0.0,0.00035762986583606993
neuroquery6308_combined_tfidf__adaptive,1.0,0.0,0.8521133211473684,0.3046718128402773,-1.026466359008501,0.0003058406317901141
neuroquery6308_combined_tfidf__adaptive behavior,1.0,-0.0,1.1827469159988617,0.7702604164219471,0.29203427704308554,4.226228703611978e-05
neuroquery6308_combined_tfidf__adaptive control,0.16512683882841303,-1.3880335182585193,1.8607251617815,0.04112379356134553,2.042279710158165,2.8972433398021508e-05
neuroquery6308_combined_tfidf__add,0.9467869839781019,0.0667421428091674,1.104646614776861,0.6854136093749439,0.4050869354070595,0.00026373191342942537
neuroquery6308_combined_tfidf__addiction,1.0,-0.0,0.9016587704596433,0.14882655044532347,-1.4436887391222177,0.00014345268220623478
neuroquery6308_combined_tfidf__addictive,1.0,-0.0,0.9085402484641095,0.8877942705909041,-0.14109578858660657,4.661067955797667e-05
neuroquery6308_combined_tfidf__addictive behavior,1.0,-0.0,0.7775075222353299,0.8429063747047129,-0.19817726487964588,1.9245731590612397e-05
neuroquery6308_combined_tfidf__addition,1.0,0.0,0.9873330728452231,0.6424135983125344,-0.4643268383417718,0.0018355297500182463
neuroquery6308_combined_tfidf__adenoma,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__adhd,1.0,-0.0,0.8217841097115778,0.12554698709573558,-1.53190051226966,0.0001171289071407686
neuroquery6308_combined_tfidf__adherence,1.0,-0.0,0.6736085990388094,0.9088140863944486,-0.11453451626721795,2.3935128583235826e-05
neuroquery6308_combined_tfidf__adherence medication,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__adherence treatment,1.0,-0.0,1.04229969614585,1.0,0.0,2.4967898907716914e-06
neuroquery6308_combined_tfidf__adhesion,1.0,-0.0,1.1219659149595456,1.0,0.0,5.3752546693046615e-06
neuroquery6308_combined_tfidf__adjustment,1.0,0.0,0.981349044382531,1.0,-0.0,0.0002889506423496153
neuroquery6308_combined_tfidf__adjustment disorder,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__adolescent,1.0,-0.0,0.8040257831052811,0.02725216012978413,-2.207886873135419,0.00013738897404282844
neuroquery6308_combined_tfidf__adolescent behavior,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__adolescent development,1.0,-0.0,0.6345412415297141,0.7286674043952028,-0.34689872519953,1.0260133529891236e-05
neuroquery6308_combined_tfidf__adolescents,1.0,0.0,0.9527153814103297,0.3252930779129998,-0.9836389275883591,0.0003206482597420795
neuroquery6308_combined_tfidf__adrenal,1.0,-0.0,1.006394564620073,1.0,0.0,3.877338625844688e-05
neuroquery6308_combined_tfidf__adrenergic,1.0,-0.0,0.7705540185855148,1.0,-0.0,1.0459722012521245e-05
neuroquery6308_combined_tfidf__adrenocorticotropic,1.0,-0.0,0.6324906594206415,1.0,-0.0,2.651438456717156e-06
neuroquery6308_combined_tfidf__adult,1.0,0.0,0.9976482153692167,0.787811487688919,-0.2691535963609581,0.0010505289718274907
neuroquery6308_combined_tfidf__adult children,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__adult offspring,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__adulthood,1.0,0.0,1.047798820389727,0.8484294628170762,0.19112270076074167,0.0002235958560601089
neuroquery6308_combined_tfidf__advanced,1.0,0.0,0.8802728684280526,0.7329267205524719,-0.3412349416254152,0.00025391789171544155
neuroquery6308_combined_tfidf__adverse,1.0,-0.0,0.8164248919957716,0.07099965792540325,-1.805479644995235,9.74598102493398e-05
neuroquery6308_combined_tfidf__adverse childhood experiences,1.0,-0.0,3.0110880110880114,1.0,0.0,4.207553334448591e-06
neuroquery6308_combined_tfidf__aesthetics,1.0,-0.0,0.9980093407855448,1.0,-0.0,6.17595950790977e-06
neuroquery6308_combined_tfidf__affect,1.0,0.0,0.9535728699134647,0.019464680852118315,-2.336509926692215,0.0010187746530973707
neuroquery6308_combined_tfidf__affect perception,0.910648032212532,-0.1122211848174647,1.4372148793362463,0.7055643697418305,0.3778199266378116,1.5779474441422997e-05
neuroquery6308_combined_tfidf__affect recognition,0.9693758740712292,-0.03839107849277322,1.3565548605979874,1.0,0.0,2.4371822768988212e-05
neuroquery6308_combined_tfidf__affective,1.0,0.0,0.7877130025368566,2.1016637712759695e-05,-4.253807090612615,0.000589038833445215
neuroquery6308_combined_tfidf__affective disorder,1.0,-0.0,0.8824402437119201,0.0694719515084361,-1.8153382029129823,0.00010128876844138112
neuroquery6308_combined_tfidf__affective psychoses,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__affective symptoms,1.0,-0.0,0.7010891488503429,0.9126858256324047,-0.10965142452851051,1.2035935082081513e-05
neuroquery6308_combined_tfidf__afferent,1.0,-0.0,0.5804068710793223,0.0035079910716912313,-2.919317166472354,0.00010705640522346694
neuroquery6308_combined_tfidf__aftereffect,1.0,-0.0,0.6731795489757274,1.0,-0.0,6.584686969898209e-06
neuroquery6308_combined_tfidf__afterimages,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__age,1.0,0.0,0.9613772968781874,5.99353465435636e-09,-5.816938035576884,0.0019335128237554923
neuroquery6308_combined_tfidf__age parental,1.0,-0.0,0.7675322381204736,1.0,-0.0,4.596486835952243e-06
neuroquery6308_combined_tfidf__age related macular degeneration,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__ageing,1.0,-0.0,1.050737571828326,1.0,0.0,3.125278111608108e-05
neuroquery6308_combined_tfidf__agency,1.0,-0.0,0.7515804979847373,0.5886080465321782,-0.5408542503973611,5.851244549266658e-05
neuroquery6308_combined_tfidf__agenesis,1.0,-0.0,0.4189028505318636,1.0,-0.0,2.425043054829976e-06
neuroquery6308_combined_tfidf__agenesis corpus callosum,1.0,-0.0,1.3815580286168523,1.0,0.0,3.03368131172848e-06
neuroquery6308_combined_tfidf__agent,0.6521058459613363,-0.45083864570430565,1.2006414139017672,0.46182338498938985,0.7358477058725802,0.00013469695407946147
neuroquery6308_combined_tfidf__ages,1.0,0.0,0.9375944068016056,0.9599725340465959,-0.05018805028354801,0.0003309065842193528
neuroquery6308_combined_tfidf__aggregate,1.0,-0.0,0.7902734026670843,1.0,-0.0,4.243632684339541e-05
neuroquery6308_combined_tfidf__aggressive,1.0,-0.0,0.7779302936261638,0.3449767814306773,-0.9443774875454475,7.516128310760094e-05
neuroquery6308_combined_tfidf__aging,1.0,0.0,0.9008553629747732,1.0,-0.0,0.000234498894561273
neuroquery6308_combined_tfidf__aging well,1.0,-0.0,0.8705864018878846,1.0,-0.0,5.7350070926003795e-06
neuroquery6308_combined_tfidf__agitated,1.0,-0.0,1.4740472690263484,1.0,0.0,5.296537550716515e-06
neuroquery6308_combined_tfidf__agitation,0.601594920946805,-0.5221083099163593,1.592664092664093,0.9900867256665566,0.012424766540312824,2.5116517353596183e-05
neuroquery6308_combined_tfidf__agnosia,1.0,-0.0,1.1904808501477584,0.9599725340465959,0.05018805028354801,2.709164681384278e-05
neuroquery6308_combined_tfidf__agonistic,1.0,-0.0,0.651196482989459,1.0,-0.0,1.9498959867856555e-06
neuroquery6308_combined_tfidf__agoraphobia,0.9976656858218603,-0.00292563313396931,1.3420849420849421,0.9900867256665566,0.012424766540312824,2.116485195663038e-05
neuroquery6308_combined_tfidf__agranular,1.0,-0.0,0.7467881235766769,1.0,-0.0,1.2373245644887659e-05
neuroquery6308_combined_tfidf__agranular cortex,1.0,-0.0,2.8411072362685266,1.0,0.0,2.8357358302447307e-06
neuroquery6308_combined_tfidf__agranular insular cortex,1.0,-0.0,1.4438413823659726,1.0,0.0,1.1528893211486773e-06
neuroquery6308_combined_tfidf__agraphia,1.0,-0.0,0.9295443200456394,1.0,-0.0,8.535639670562501e-06
neuroquery6308_combined_tfidf__agreeableness,0.5971114981562053,-0.5285588706916825,1.5175165224867015,0.4637094599563352,0.7327523968344959,2.696072551978469e-05
neuroquery6308_combined_tfidf__aids,1.0,-0.0,1.0750135488583614,1.0,0.0,3.927110917344324e-05
neuroquery6308_combined_tfidf__airway,1.0,-0.0,0.6389914703094873,1.0,-0.0,4.081813702930263e-06
neuroquery6308_combined_tfidf__akathisia,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__akinetic,1.0,-0.0,0.6319234032238517,1.0,-0.0,3.784372121438707e-06
neuroquery6308_combined_tfidf__al,1.0,0.0,0.9552595925745985,0.1146086957773916,-1.5778124804868463,0.0011327028481328961
neuroquery6308_combined_tfidf__ala,1.0,-0.0,2.923629023214086,1.0,0.0,4.0853422417467645e-06
neuroquery6308_combined_tfidf__alba,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__album,1.0,-0.0,1.1512983571807103,1.0,0.0,1.608770392583285e-06
neuroquery6308_combined_tfidf__alcohol,1.0,0.0,0.9241649955333798,0.0002994384943220935,-3.6157852898939344,0.0004097379718208516
neuroquery6308_combined_tfidf__alcohol abstinence,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__alcohol abuse,1.0,-0.0,0.9432631874348063,0.6830773869475117,-0.4082673772669985,9.264161735511515e-05
