,cluster,network,%overlap
58,gradient-0_cluster-0-20_conj_gradient-0_cluster-80-100,5_binary.nii,0.036460865337870685
59,gradient-0_cluster-0-20_conj_gradient-0_cluster-80-100,6_binary.nii,36.66747690811862
60,gradient-0_cluster-0-20_conj_gradient-0_cluster-80-100,3_binary.nii,7.790471560525036
61,gradient-0_cluster-0-20_conj_gradient-0_cluster-80-100,4_binary.nii,19.1541079241614
62,gradient-0_cluster-0-20_conj_gradient-0_cluster-80-100,1_binary.nii,0.19445794846864364
63,gradient-0_cluster-0-20_conj_gradient-0_cluster-80-100,clustercorr_vatl_binary.nii,21.28099173553719
64,gradient-1_cluster-0-20_conj_gradient-1_cluster-80-100,2_binary.nii,0.5177155800032357
65,gradient-1_cluster-0-20_conj_gradient-1_cluster-80-100,7_binary.nii,16.033004368225207
66,gradient-1_cluster-0-20_conj_gradient-1_cluster-80-100,5_binary.nii,0.08089305937550559
67,gradient-1_cluster-0-20_conj_gradient-1_cluster-80-100,6_binary.nii,31.346060508008414
68,gradient-1_cluster-0-20_conj_gradient-1_cluster-80-100,3_binary.nii,13.533408833522083
69,gradient-1_cluster-0-20_conj_gradient-1_cluster-80-100,4_binary.nii,19.875424688561722
70,gradient-1_cluster-0-20_conj_gradient-1_cluster-80-100,1_binary.nii,0.8898236531305614
71,gradient-1_cluster-0-20_conj_gradient-1_cluster-80-100,clustercorr_vatl_binary.nii,12.667853098204175
