,network,%overlap,cluster
0,Visual,0,sbfc_gradient-0_cluster-0-20>gradient-0_cluster-80-100
1,Somatomotor,0,sbfc_gradient-0_cluster-0-20>gradient-0_cluster-80-100
2,Dorsal_Attention,0,sbfc_gradient-0_cluster-0-20>gradient-0_cluster-80-100
3,Ventral_Attention,0,sbfc_gradient-0_cluster-0-20>gradient-0_cluster-80-100
4,Limbic,11,sbfc_gradient-0_cluster-0-20>gradient-0_cluster-80-100
5,Frotoparietal,8,sbfc_gradient-0_cluster-0-20>gradient-0_cluster-80-100
6,Default,46,sbfc_gradient-0_cluster-0-20>gradient-0_cluster-80-100
7,Semantic,55,sbfc_gradient-0_cluster-0-20>gradient-0_cluster-80-100
