,Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
0,1,-36.0,38.0,-12.0,20.982851,51200
1,1a,-46.0,42.0,-12.0,20.047358,
2,1b,-50.0,42.0,6.0,18.363413,
3,1c,-44.0,52.0,0.0,17.458158,
4,2,-44.0,-68.0,44.0,17.562983,18712
5,2a,-38.0,-74.0,46.0,17.455633,
6,2b,-30.0,-76.0,50.0,17.259478,
7,2c,-36.0,-68.0,42.0,16.801859,
8,3,38.0,38.0,-12.0,16.733746,6832
9,3a,44.0,48.0,-12.0,14.152727,
10,3b,46.0,32.0,-16.0,12.491893,
11,3c,38.0,58.0,0.0,9.025553,
12,4,46.0,-72.0,-40.0,16.340124,17824
13,4a,20.0,-84.0,-24.0,15.400415,
14,4b,14.0,-88.0,-34.0,15.17135,
15,4c,38.0,-74.0,-50.0,15.142033,
16,5,-64.0,-44.0,-10.0,16.307756,16336
17,5a,-58.0,-50.0,-10.0,15.328849,
18,5b,-68.0,-50.0,-10.0,14.623598,
19,5c,-62.0,-34.0,-10.0,14.547364,
20,6,40.0,-72.0,46.0,14.75056,6848
21,6a,52.0,-66.0,38.0,14.534077,
22,6b,54.0,-70.0,26.0,12.026484,
23,6c,28.0,-56.0,36.0,5.224048,
24,7,-22.0,34.0,58.0,14.749573,152
25,8,-42.0,-72.0,-40.0,14.355836,10336
26,8a,-10.0,-84.0,-34.0,13.716012,
27,8b,-20.0,-84.0,-26.0,12.904219,
28,8c,-44.0,-76.0,-32.0,12.298663,
29,9,62.0,-40.0,-8.0,14.256246,6568
30,9a,66.0,-28.0,-10.0,11.844738,
31,9b,54.0,-56.0,-14.0,9.031421,
32,9c,62.0,-60.0,-14.0,7.5360184,
33,10,4.0,44.0,-16.0,13.94068,4216
34,10a,-2.0,56.0,-8.0,13.615057,
35,10b,0.0,48.0,-16.0,13.538121,
36,10c,-6.0,48.0,-8.0,13.3090725,
37,11,-26.0,16.0,44.0,13.238286,440
38,11a,-52.0,14.0,42.0,12.223022,
39,11b,-42.0,16.0,44.0,11.674477,
40,12,-52.0,24.0,28.0,12.845074,912
41,12a,-38.0,22.0,28.0,11.356946,
42,12b,-36.0,12.0,28.0,7.5360184,
43,13,-52.0,16.0,34.0,12.5994425,448
44,13a,-38.0,14.0,36.0,9.907787,
45,14,48.0,-54.0,32.0,11.819748,168
46,14a,40.0,-54.0,34.0,10.368474,
47,15,-4.0,46.0,-6.0,11.40396,8
48,16,32.0,20.0,50.0,11.355882,2952
49,16a,34.0,20.0,60.0,10.661688,
50,16b,38.0,14.0,56.0,10.150374,
51,16c,30.0,10.0,48.0,8.864945,
52,17,-4.0,32.0,42.0,11.027453,32
53,18,2.0,-56.0,-50.0,10.714457,520
54,19,-46.0,8.0,36.0,10.687188,672
55,19a,-38.0,12.0,32.0,9.874794,
56,19b,-32.0,6.0,30.0,6.6872826,
57,20,2.0,24.0,-14.0,10.564104,8
58,21,-4.0,24.0,-14.0,10.338407,24
59,22,52.0,34.0,22.0,9.396237,2320
60,22a,46.0,34.0,14.0,8.908197,
61,22b,52.0,42.0,8.0,7.569318,
62,23,66.0,-20.0,-10.0,9.292696,8
63,24,32.0,14.0,42.0,9.059667,8
64,25,32.0,16.0,44.0,8.864945,80
65,25a,44.0,16.0,44.0,5.5379744,
66,26,44.0,-52.0,40.0,8.439675,96
67,26a,56.0,-52.0,40.0,5.748395,
68,27,4.0,44.0,-26.0,8.274542,8
69,28,2.0,-48.0,-34.0,8.008325,512
70,29,-38.0,-60.0,18.0,7.4235945,24
71,30,-60.0,2.0,-18.0,7.391946,24
72,31,-62.0,-42.0,-26.0,7.008234,16
73,32,-62.0,6.0,-24.0,7.008234,24
74,33,-44.0,-46.0,42.0,6.9669113,56
75,34,-32.0,8.0,-38.0,6.924826,1000
76,34a,-40.0,12.0,-44.0,6.5244155,
77,34b,-38.0,8.0,-36.0,6.4192,
78,34c,-48.0,14.0,-42.0,5.9438343,
79,35,-38.0,-56.0,22.0,6.902559,88
80,36,28.0,-54.0,32.0,6.894127,72
81,37,-20.0,64.0,28.0,6.652411,8
82,38,-56.0,-46.0,-28.0,6.652411,8
83,39,-50.0,-46.0,-28.0,6.652411,16
84,40,-62.0,-36.0,-28.0,6.652411,16
85,41,-60.0,6.0,-28.0,6.652411,32
86,42,-32.0,8.0,40.0,6.652411,8
87,43,-38.0,-18.0,-36.0,6.652411,8
88,44,-50.0,-62.0,18.0,6.3446107,24
89,45,-40.0,20.0,-40.0,6.1346,48
90,46,-40.0,6.0,-34.0,6.0430994,48
91,47,-40.0,24.0,-38.0,5.6377697,8
92,48,14.0,-70.0,-24.0,5.6262164,8
93,49,-44.0,-42.0,-26.0,5.5388613,8
94,50,-56.0,4.0,-40.0,5.5388613,8
95,51,-16.0,48.0,22.0,5.5379744,16
96,52,-60.0,-22.0,-34.0,5.5379744,16
97,53,-64.0,-22.0,-32.0,5.499198,16
98,54,38.0,14.0,42.0,5.499198,16
99,55,48.0,14.0,42.0,5.499198,24
100,56,-48.0,-44.0,-28.0,5.499198,8
101,57,6.0,60.0,38.0,5.499198,16
102,58,-60.0,6.0,-20.0,5.499198,8
103,59,-48.0,-56.0,0.0,5.499198,8
104,60,-8.0,42.0,-30.0,5.499198,8
105,61,-12.0,30.0,62.0,5.499198,8
106,62,-26.0,4.0,-42.0,5.499198,8
107,63,-28.0,-10.0,-44.0,5.499198,16
108,64,-34.0,6.0,44.0,5.499198,8
109,65,-48.0,-42.0,-26.0,5.499198,8
110,66,16.0,64.0,28.0,5.499198,8
111,67,-32.0,-18.0,-36.0,5.499198,8
112,68,-56.0,-62.0,18.0,5.120922,8
113,69,10.0,-70.0,-24.0,4.7882295,8
