,network,%overlap,cluster
0,Visual,0,sbfc_gradient-1_cluster-0-20_conj_gradient-1_cluster-80-100
1,Somatomotor,0,sbfc_gradient-1_cluster-0-20_conj_gradient-1_cluster-80-100
2,Dorsal_Attention,5,sbfc_gradient-1_cluster-0-20_conj_gradient-1_cluster-80-100
3,Ventral_Attention,6,sbfc_gradient-1_cluster-0-20_conj_gradient-1_cluster-80-100
4,Limbic,7,sbfc_gradient-1_cluster-0-20_conj_gradient-1_cluster-80-100
5,Frotoparietal,24,sbfc_gradient-1_cluster-0-20_conj_gradient-1_cluster-80-100
6,Default,38,sbfc_gradient-1_cluster-0-20_conj_gradient-1_cluster-80-100
7,Semantic,43,sbfc_gradient-1_cluster-0-20_conj_gradient-1_cluster-80-100
