,network,%overlap,cluster
0,Visual,0,sbfc_gradient-1_cluster-0-20>gradient-1_cluster-80-100
1,Somatomotor,11,sbfc_gradient-1_cluster-0-20>gradient-1_cluster-80-100
2,Dorsal_Attention,2,sbfc_gradient-1_cluster-0-20>gradient-1_cluster-80-100
3,Ventral_Attention,36,sbfc_gradient-1_cluster-0-20>gradient-1_cluster-80-100
4,Limbic,0,sbfc_gradient-1_cluster-0-20>gradient-1_cluster-80-100
5,Frotoparietal,9,sbfc_gradient-1_cluster-0-20>gradient-1_cluster-80-100
6,Default,15,sbfc_gradient-1_cluster-0-20>gradient-1_cluster-80-100
7,Semantic,8,sbfc_gradient-1_cluster-0-20>gradient-1_cluster-80-100
