,network,%overlap,cluster
0,Visual,0,sbfc_gradient-1_cluster-80-100>gradient-1_cluster-0-20
1,Somatomotor,0,sbfc_gradient-1_cluster-80-100>gradient-1_cluster-0-20
2,Dorsal_Attention,8,sbfc_gradient-1_cluster-80-100>gradient-1_cluster-0-20
3,Ventral_Attention,0,sbfc_gradient-1_cluster-80-100>gradient-1_cluster-0-20
4,Limbic,4,sbfc_gradient-1_cluster-80-100>gradient-1_cluster-0-20
5,Frotoparietal,32,sbfc_gradient-1_cluster-80-100>gradient-1_cluster-0-20
6,Default,29,sbfc_gradient-1_cluster-80-100>gradient-1_cluster-0-20
7,Semantic,35,sbfc_gradient-1_cluster-80-100>gradient-1_cluster-0-20
