,Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
0,1,-54.0,24.0,12.0,22.026197,49544
1,1a,-46.0,32.0,-4.0,21.918068,
2,1b,-56.0,18.0,16.0,21.668543,
3,1c,-54.0,24.0,4.0,21.668543,
4,2,-2.0,34.0,48.0,19.158207,27624
5,2a,-2.0,20.0,56.0,18.692791,
6,2b,-8.0,28.0,62.0,17.468605,
7,2c,-2.0,36.0,42.0,17.425745,
8,3,-58.0,-50.0,38.0,16.809835,32688
9,3a,-56.0,-42.0,42.0,16.163624,
10,3b,-58.0,-50.0,46.0,15.825431,
11,3c,-50.0,-38.0,-2.0,15.37674,
12,4,-38.0,22.0,-20.0,15.840229,464
13,4a,-20.0,22.0,-20.0,12.232734,
14,4b,-48.0,22.0,-22.0,9.037776,
15,4c,-12.0,22.0,-22.0,8.516312,
16,5,-44.0,4.0,58.0,15.803472,472
17,6,50.0,34.0,-8.0,14.451049,8424
18,6a,54.0,32.0,0.0,14.449365,
19,6b,58.0,26.0,18.0,13.708799,
20,6c,52.0,40.0,-6.0,13.417923,
21,7,-52.0,-2.0,-32.0,12.947089,10080
22,7a,-48.0,-12.0,-26.0,12.409187,
23,7b,-38.0,22.0,-28.0,12.232734,
24,7c,-48.0,0.0,-36.0,12.143609,
25,8,-46.0,4.0,14.0,12.883483,72
26,9,52.0,26.0,-10.0,12.240412,80
27,10,18.0,-78.0,-32.0,10.871189,2912
28,10a,20.0,-76.0,-24.0,10.635058,
29,10b,12.0,-80.0,-30.0,10.198121,
30,10c,28.0,-74.0,-24.0,9.848007,
31,11,-38.0,28.0,-24.0,10.666036,56
32,12,34.0,-62.0,-52.0,9.44206,1552
33,12a,24.0,-70.0,-54.0,8.793904,
34,12b,40.0,-60.0,-50.0,8.085772,
35,12c,28.0,-66.0,-50.0,8.079093,
36,13,50.0,8.0,42.0,9.230945,2400
37,13a,50.0,12.0,28.0,8.912347,
38,13b,46.0,6.0,40.0,8.792315,
39,13c,56.0,16.0,32.0,8.355274,
40,14,-56.0,-42.0,10.0,9.037776,120
41,15,-42.0,36.0,34.0,8.516312,24
42,16,-6.0,58.0,-20.0,8.516312,56
43,17,-64.0,-42.0,10.0,7.628226,16
44,18,-30.0,26.0,-26.0,7.13545,24
45,19,34.0,-70.0,-22.0,7.1118846,24
46,20,22.0,-64.0,-34.0,6.58063,32
47,21,42.0,-64.0,-58.0,6.324074,8
48,22,-48.0,-16.0,-6.0,5.8512707,8
49,23,-8.0,62.0,-22.0,5.394729,8
50,24,-30.0,-48.0,40.0,5.394729,16
51,25,-48.0,-6.0,-20.0,5.394729,8
52,26,-54.0,-12.0,-44.0,5.394729,8
53,27,-16.0,66.0,24.0,5.394729,8
54,28,52.0,14.0,44.0,5.394729,16
