,Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
0,1,-44.0,32.0,18.0,19.482744,24592
1,1a,-50.0,22.0,26.0,18.747856,
2,1b,-48.0,10.0,32.0,18.205309,
3,1c,-44.0,16.0,26.0,18.174635,
4,2,-26.0,-70.0,46.0,17.771738,26328
5,2a,-40.0,-46.0,42.0,17.490232,
6,2b,-42.0,-48.0,50.0,17.454252,
7,2c,-30.0,-66.0,48.0,17.421955,
8,3,-44.0,2.0,22.0,16.108837,968
9,4,-54.0,-60.0,-14.0,15.845755,14032
10,4a,-56.0,-52.0,-14.0,15.075304,
11,4b,-60.0,-54.0,-6.0,14.968261,
12,4c,-52.0,-66.0,-10.0,14.738801,
13,5,50.0,38.0,18.0,14.738966,10872
14,5a,40.0,36.0,16.0,14.0674305,
15,5b,46.0,30.0,22.0,13.759669,
16,5c,50.0,38.0,28.0,13.05627,
17,6,-64.0,-20.0,44.0,13.929759,8
18,7,-44.0,36.0,38.0,13.310251,8
19,8,-28.0,10.0,66.0,13.247336,5280
20,8a,-24.0,8.0,58.0,13.072094,
21,8b,-30.0,0.0,66.0,12.60601,
22,8c,-22.0,12.0,52.0,12.386452,
23,9,60.0,-50.0,-8.0,13.104247,3280
24,9a,54.0,-50.0,-18.0,11.384226,
25,9b,58.0,-58.0,-8.0,11.319958,
26,9c,66.0,-48.0,-20.0,9.25352,
27,10,28.0,-70.0,-46.0,11.663378,3968
28,10a,38.0,-74.0,-52.0,11.448575,
29,10b,22.0,-76.0,-52.0,10.5081005,
30,10c,34.0,-66.0,-42.0,9.650036,
31,11,-54.0,-38.0,-14.0,11.123141,328
32,12,-46.0,46.0,26.0,10.400651,8
33,13,6.0,-80.0,-24.0,9.941065,832
34,13a,14.0,-76.0,-22.0,9.102922,
35,13b,14.0,-84.0,-24.0,5.451973,
36,14,-26.0,-8.0,50.0,9.773915,8
37,15,8.0,-80.0,-18.0,9.702969,136
38,16,-26.0,20.0,54.0,9.678374,40
39,17,12.0,-74.0,-32.0,9.149376,104
40,18,-60.0,-20.0,12.0,8.559208,16
41,19,-42.0,-2.0,6.0,8.091671,624
42,20,-58.0,-38.0,-22.0,8.024876,72
43,21,42.0,-66.0,-54.0,7.855845,56
44,22,-4.0,24.0,46.0,7.6448326,392
45,23,-36.0,38.0,-18.0,7.4186854,160
46,24,14.0,-86.0,-22.0,7.010095,32
47,25,6.0,-86.0,-22.0,7.010095,8
48,26,-38.0,-4.0,16.0,6.794993,32
49,27,-22.0,30.0,-16.0,6.6396914,24
50,28,-32.0,36.0,-6.0,6.57106,32
51,29,-2.0,26.0,50.0,6.5504203,40
52,30,58.0,14.0,8.0,6.4661107,24
53,31,-24.0,30.0,-12.0,6.375793,88
54,31a,-32.0,32.0,-10.0,6.1745133,
55,32,-2.0,14.0,50.0,6.3685956,96
56,33,-44.0,-38.0,-22.0,6.325968,8
57,34,-30.0,36.0,-20.0,6.1745133,24
58,35,0.0,20.0,52.0,6.167429,40
59,36,-24.0,34.0,-22.0,5.96849,72
60,37,-6.0,24.0,42.0,5.722885,16
61,38,-40.0,32.0,48.0,5.701159,8
62,39,-24.0,26.0,-16.0,5.551397,8
63,40,-24.0,28.0,-20.0,5.3529973,16
64,41,-22.0,26.0,-18.0,5.170061,8
65,42,18.0,-84.0,-24.0,4.9265203,8
66,43,0.0,14.0,54.0,4.919138,8
