,Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
0,1,-54.0,22.0,18.0,23.88197,85432
1,1a,-52.0,30.0,2.0,22.700695,
2,1b,-52.0,38.0,-4.0,22.564724,
3,1c,-54.0,28.0,10.0,22.442307,
4,2,-54.0,12.0,8.0,18.00243,232
5,3,-42.0,50.0,-12.0,16.658188,64
6,4,-2.0,38.0,46.0,16.630762,21624
7,4a,-2.0,20.0,62.0,15.617344,
8,4b,-2.0,12.0,68.0,15.547224,
9,4c,-2.0,38.0,56.0,14.74364,
10,5,56.0,28.0,20.0,13.880409,6032
11,5a,54.0,30.0,4.0,12.385848,
12,5b,56.0,34.0,12.0,11.788562,
13,5c,56.0,18.0,20.0,11.788562,
14,6,-48.0,48.0,-18.0,13.743682,48
15,7,14.0,-80.0,-30.0,13.722299,7016
16,7a,18.0,-72.0,-26.0,12.804017,
17,7b,24.0,-78.0,-46.0,12.062772,
18,7c,28.0,-70.0,-28.0,11.611384,
19,8,-54.0,-6.0,40.0,13.016933,88
20,9,-46.0,50.0,-16.0,11.383337,56
21,10,-50.0,2.0,-24.0,10.970166,120
22,11,-48.0,12.0,-28.0,10.374357,496
23,11a,-44.0,8.0,-34.0,5.760781,
24,12,-30.0,16.0,-30.0,9.121624,64
25,13,54.0,-38.0,8.0,8.111182,5424
26,13a,62.0,-38.0,6.0,7.9113283,
27,13b,46.0,-26.0,-4.0,7.55791,
28,13c,56.0,-24.0,0.0,7.5285616,
29,14,-30.0,2.0,-44.0,7.5092516,5272
30,14a,-40.0,-8.0,-34.0,7.504041,
31,14b,-36.0,-6.0,-42.0,7.131024,
32,14c,-36.0,6.0,-38.0,7.0979633,
33,15,-22.0,30.0,-20.0,6.1199994,8
34,16,-34.0,0.0,44.0,6.1199994,8
35,17,-50.0,6.0,10.0,6.1199994,8
36,18,-46.0,6.0,10.0,6.1199994,8
37,19,-42.0,-70.0,54.0,6.1199994,8
38,20,-52.0,-12.0,-42.0,5.760781,8
39,21,-32.0,14.0,-40.0,5.760781,8
40,22,-46.0,18.0,-34.0,5.760781,8
41,23,-56.0,-2.0,32.0,5.760781,8
42,24,-16.0,22.0,-22.0,5.760781,8
43,25,-52.0,-14.0,-40.0,5.760781,24
44,26,-32.0,4.0,-50.0,5.760781,40
